name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Abdulwahab Restaurant,Middle Eastern Restaurant,المملكة العربية السعودية,24.775956615269926,46.64897324182887,moderate,2.0,0,1,7.536018122325698,
Starbucks,Coffee Shop,"الرياض 13311, المملكة العربية السعودية",24.772168,46.652984,cheap,2.0,3,0,7.7,3.0
#حارتنا,Fast Food Restaurant,"Alseal alkabeer St, الرياض 13311, المملكة العربية السعودية",24.772451,46.65365,cheap,1.0,16,3,7.536018122325698,
Normani,Shawarma Place,"الرياض 13311, المملكة العربية السعودية",24.772151,46.652731,Cheap,0.0,0,0,7.536018122325698,
بيتزا اكسبرس,Pizza Place,"الرياض 13311, المملكة العربية السعودية",24.77139,46.65085,cheap,1.0,0,0,7.536018122325698,
فوال ذوق,Breakfast Spot,المملكة العربية السعودية,24.772672,46.654195,cheap,2.0,2,0,7.536018122325698,
تميس السيل الكبير,Afghan Restaurant,المملكة العربية السعودية,24.771268,46.650772,moderate,1.0,2,0,7.536018122325698,
كريمة و كيك,Dessert Shop,"الرياض, المملكة العربية السعودية",24.772369364972626,46.65238105130619,cheap,4.0,10,2,7.536018122325698,
Fofa,Pastry Shop,المملكة العربية السعودية,24.771488,46.65103,Cheap,1.0,2,3,7.536018122325698,
وسم #حارتنا,Fast Food Restaurant,"الغدير, الرياض 13311, المملكة العربية السعودية",24.772793,46.653678,cheap,1.0,1,0,7.536018122325698,
Maiz Cafe,Café,"الغدير (شارع السيل الكبير), الرياض, المملكة العربية السعودية",24.77122432688787,46.64966609711461,cheap,5.0,3,0,7.536018122325698,
دبس و عسل,"Food Truck, Dessert Shop","Prince Turki Bin Abdulaziz Al Awal Road, الرياض 13513, المملكة العربية السعودية",24.772965555478955,46.65051450443906,cheap,4.0,2,0,7.536018122325698,
Starbucks (ستاربكس),Coffee Shop,"Jazeera Market-Al Ghadeer, الرياض 13311, المملكة العربية السعودية",24.772742,46.655109,cheap,254.0,1214,30,9.1,291.0
Gadeer Coffe (غدير القهوة),Coffee Shop,"شارع الربع الخالي, الرياض 13311, المملكة العربية السعودية",24.77436998796556,46.65452801298169,cheap,8.0,38,3,7.3,12.0
Dćana Juice دي قانا,Juice Bar,المملكة العربية السعودية,24.77291048303552,46.6542952540789,cheap,30.0,24,7,6.6,48.0
ستار بكس,Café,"الغدير (السيل الكبير), الرياض 13311, المملكة العربية السعودية",24.772801,46.654993,cheap,0.0,9,0,7.536018122325698,
تنور الفطيرة الدمشقية,Pizza Place,"Alsail Alkabeer, المملكة العربية السعودية",24.77355,46.655761,cheap,10.0,1,2,8.1,12.0
Citizenaccount (حساب المواطن),Dessert Shop,"الرياض, المملكة العربية السعودية",24.773494,46.65677,cheap,3.0,14,1,7.536018122325698,
