name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
عصائر عنوب,Juice Bar,"شارع الستين-حي الشفاء, الرياض, المملكة العربية السعودية",24.5512060707158,46.6989519651405,cheap,14,30,3,7.7,16
مطعم بخاري الطائف,Middle Eastern Restaurant,المملكة العربية السعودية,24.546345052721,46.7074984390309,moderate,34,7,3,7.8,44
Light Diet (لايت دايت),Restaurant,"الرياض 14716, المملكة العربية السعودية",24.5493015198487,46.7068726354508,moderate,5,96,1,7.5360181223257,
لقيمات نوره,Dessert Shop,"الرياض 14716, المملكة العربية السعودية",24.55027,46.70572,cheap,6,6,1,7.3,8
بوفية صاص,Sandwich Place,"الرياض 14716, المملكة العربية السعودية",24.549849,46.706225,cheap,0,0,0,7.5360181223257,
مطعم شاورما الشيف,Middle Eastern Restaurant,"3837 Imam Malek Road (Umm Ammarah), الرياض 14724, المملكة العربية السعودية",24.548077,46.707947,moderate,4,13,3,7.5360181223257,
pizza slice,Pizza Place,المملكة العربية السعودية,24.550773515504,46.7018369379632,cheap,0,2,0,7.5360181223257,
مطعم ديرتي لتكبير الكروش و تنفيخ الفخوذ,American Restaurant,المملكة العربية السعودية,24.5486621856689,46.7070503234863,moderate,0,0,0,7.5360181223257,
مطاعم الشراع,Middle Eastern Restaurant,"شارع ابن تيمية, الرياض, المملكة العربية السعودية",24.5512167871446,46.7035402572167,moderate,2,3,0,7.5360181223257,
مطعم حضرموت للمطبق والمعصوب,Afghan Restaurant,المملكة العربية السعودية,24.5513,46.70336,moderate,0,0,0,7.5360181223257,
بوفية المملكة,Breakfast Spot,المملكة العربية السعودية,24.5494392211246,46.7043707053475,cheap,0,1,0,7.5360181223257,
البيتزا الساخنة,Arepa Restaurant,المملكة العربية السعودية,24.550594,46.7111,cheap,2,3,1,7.5360181223257,
تاج القهوة Taj Coffee,Coffee Shop,"حي بدر (طريق عرفات), الرياض, المملكة العربية السعودية",24.543169,46.71669,cheap,3,2,0,7.5360181223257,
شاورما الدوحه,Dutch Restaurant,"الرياض 14716, المملكة العربية السعودية",24.550787,46.711283,cheap,0,1,0,7.5360181223257,
VIM Esspresso Bar,Coffee Shop,"الرياض 14716, المملكة العربية السعودية",24.550921,46.711627,cheap,2,3,0,7.5360181223257,
